model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
7585,2017,14498,1,23356,1,145,60.1,2.0
6967,2018,12898,1,15267,0,145,53.3,1.0
6967,2017,9698,1,30207,0,145,53.3,1.0
7073,2016,8798,1,19815,0,0,65.7,1.0
7585,2015,14298,1,43717,1,145,54.3,2.0
7079,2018,15798,1,4534,0,145,58.9,1.0
7073,2017,10298,1,9148,0,145,65.7,1.0
7079,2016,10298,1,15510,1,0,74.3,1.5
7073,2017,9998,1,20347,0,0,65.7,1.0
7585,2018,16698,1,3044,0,145,39.2,1.5
7073,2017,8998,1,5233,0,125,54.3,1.2
7079,2017,12498,0,12244,0,125,51.4,1.0
7073,2018,12498,1,17918,0,145,65.7,1.0
6967,2017,9298,1,16770,0,145,44.8,1.5
7079,2017,10900,1,25459,0,145,60.1,1.0
6967,2017,9998,1,23913,0,125,53.3,1.0
7073,2018,12998,1,9901,0,150,65.7,1.0
7079,2016,10998,0,15006,0,125,51.4,1.0
7079,2017,15500,1,19593,0,145,41.5,2.0
7585,2017,16200,0,23027,1,145,58.9,1.5
7079,2015,13200,1,32000,1,20,67.3,2.0
7079,2019,18698,1,15365,0,145,60.1,1.0
7079,2019,16998,1,7924,1,145,80.7,1.5
7073,2017,9998,1,10721,0,145,65.7,1.0
6967,2017,9498,1,25939,0,145,53.3,1.0
7073,2019,17498,1,3265,0,145,58.9,1.0
7079,2019,15998,2,11045,0,145,41.5,1.0
7079,2017,9998,1,22001,0,20,60.1,1.0
7073,2019,16998,1,12236,0,145,55.4,1.0
7585,2019,23998,1,7584,1,145,39.2,2.0
7073,2013,6498,1,41599,0,0,65.7,1.0
7073,2013,4998,1,79300,0,0,65.7,1.0
7079,2017,11298,1,24386,1,0,74.3,1.5
6967,2017,9298,1,18209,1,30,64.2,1.5
6967,2018,12998,1,9796,0,145,54.3,1.0
7073,2018,14498,1,9428,0,145,62.8,1.0
7073,2015,8298,1,15673,0,0,65.7,1.0
7079,2015,8498,1,47219,1,0,74.3,1.5
7079,2018,12998,1,16081,0,150,57.7,1.0
7079,2019,16998,1,10476,0,145,60.1,1.0
7073,2016,9998,1,16647,0,0,65.7,1.0
7585,2017,13698,1,41457,1,150,54.3,2.0
7079,2017,13998,0,4735,0,125,51.4,1.0
6967,2016,9498,1,24045,0,125,53.3,1.0
6967,2019,15984,1,6500,0,145,51.4,1.0
6967,2017,8489,1,60190,0,160,44.8,1.5
7073,2017,9995,1,27000,1,0,78.5,1.5
7073,2017,8498,1,32538,0,0,65.7,1.0
7585,2016,13498,1,36345,1,150,54.3,2.0
7079,2016,8998,1,43623,0,20,61.4,1.0
7585,2013,9998,0,58500,1,200,45.6,2.0
7585,2017,17498,1,15729,1,145,54.3,2.0
7073,2018,9998,1,7892,0,145,65.7,1.0
7073,2017,11990,1,24725,0,145,47.9,1.6
7079,2019,16899,1,7000,1,145,80.7,1.5
6967,2019,15984,1,3500,0,145,51.4,1.0
6967,2019,15984,1,4500,0,145,51.4,1.0
6967,2019,15984,1,4000,0,145,51.4,1.0
6967,2019,13998,1,4889,1,145,68.9,1.5
7585,2017,17994,1,20633,1,150,54.3,2.0
7585,2018,19899,0,28500,1,145,54.3,2.0
7073,2014,4699,1,85000,0,30,54.3,1.2
6967,2017,9949,1,23000,0,125,53.3,1.0
7079,2019,18998,2,22246,1,150,64.2,2.0
7073,2019,11798,1,5530,0,150,48.7,1.1
7073,2019,11798,1,4590,0,150,48.7,1.1
7073,2017,8498,1,28479,0,0,65.7,1.0
7585,2013,8998,1,67895,1,200,47.9,2.0
7079,2019,14799,1,6249,0,145,60.1,1.0
7079,2019,14799,1,8560,0,145,60.1,1.0
7585,2017,17498,1,9940,0,145,45.6,1.5
7079,2019,16498,1,4930,0,145,60.1,1.0
7079,2018,19698,1,12011,0,145,41.5,2.0
7073,2016,8498,1,23053,0,125,54.3,1.2
7079,2016,16998,1,17589,0,200,41.5,2.0
7079,2019,14998,1,7000,0,145,58.9,1.0
7585,2019,20999,2,5500,1,145,47.9,2.0
7079,2019,14998,1,7000,0,145,60.1,1.0
7079,2019,14998,1,7000,0,145,58.9,1.0
6967,2019,13998,1,5000,1,145,68.9,1.5
7585,2017,13898,1,33026,1,145,60.1,2.0
7073,2016,11498,1,8560,0,0,65.7,1.0
7079,2018,19698,1,16548,0,145,41.5,2.0
7079,2017,10498,1,49485,1,0,74.3,1.5
7585,2015,12498,1,60151,1,145,54.3,2.0
7079,2017,11498,1,9148,0,145,61.4,1.0
7073,2017,10998,1,13548,0,0,65.7,1.0
7073,2015,8498,1,6649,0,125,54.3,1.2
7079,2017,11998,1,7690,0,150,60.1,1.0
7073,2019,11898,1,3396,0,150,48.7,1.1
7073,2019,11498,1,15766,0,145,58.9,1.0
7073,2019,13298,1,7349,0,145,58.9,1.0
6967,2018,10498,1,59498,1,145,68.9,1.5
7585,2015,10998,1,17367,1,125,60.1,2.0
7073,2017,9598,1,14403,0,145,64.2,1.1
7079,2019,16998,1,20647,0,145,60.1,1.0
7073,2019,13498,1,13351,0,145,58.9,1.0
7073,2016,6998,1,34804,0,125,54.3,1.2
7585,2017,15498,1,38113,1,125,60.1,2.0
7073,2018,9949,1,27399,0,145,64.2,1.1
7073,2018,9489,1,35417,0,145,64.2,1.1
7073,2019,13949,0,11982,0,145,48.7,1.0
7073,2018,10990,1,28138,0,145,56.5,1.0
7585,2017,13489,1,34805,1,145,54.3,2.0
7079,2015,7994,1,64612,1,20,67.3,1.6
7073,2018,11489,1,19665,0,145,60.1,1.0
7585,2018,15699,1,17500,1,150,64.2,1.5
7079,2019,14998,1,7000,0,145,58.9,1.0
6967,2016,9199,1,26445,1,30,64.2,1.5
6967,2018,11489,1,2922,1,145,64.2,1.5
7079,2018,11999,1,6691,0,145,61.4,1.0
7079,2019,16998,2,8703,0,145,40.9,1.5
6967,2019,15489,1,5636,1,145,68.9,1.5
7073,2015,5998,1,55898,1,0,78.5,1.5
7079,2017,10998,1,28001,0,145,60.1,1.0
7585,2014,11498,1,36052,1,160,47.9,2.0
7585,2017,15298,1,34673,1,125,60.1,2.0
7079,2019,16998,1,19936,0,145,60.1,1.0
7079,2017,13398,2,21649,0,145,46.3,1.5
7079,2017,17798,1,10345,0,145,41.5,2.0
7585,2018,14998,1,14960,1,145,64.2,1.5
7079,2015,13998,1,35689,0,205,41.5,2.0
6967,2017,9189,1,31998,0,145,44.8,1.5
7073,2018,10399,1,7200,0,145,65.7,1.0
7073,2013,5330,1,66937,0,30,54.3,1.2
6967,2019,15985,1,5099,0,145,51.4,1.0
7073,2015,7485,1,11092,0,125,54.3,1.2
7585,2019,21999,2,6000,0,145,29.1,1.5
7073,2017,10850,1,23634,0,150,65.7,1.0
7585,2019,23250,0,9931,1,145,38.7,2.0
7073,2016,7999,1,22633,0,0,65.7,1.0
7585,2013,7999,1,78170,1,200,47.9,2.0
7079,2016,9699,1,13480,0,20,60.1,1.0
7073,2017,8500,1,15060,0,125,54.3,1.2
7073,2016,9998,1,18912,0,0,65.7,1.0
7079,2019,15995,1,6992,0,145,60.1,1.0
7073,2017,11495,1,17766,0,145,65.7,1.0
7073,2019,14698,1,8725,0,145,58.9,1.0
7073,2016,9998,1,6820,0,0,65.7,1.0
7585,2013,9498,1,29326,1,200,47.9,2.0
7073,2017,10698,0,11235,0,0,57.7,1.0
7585,2016,13499,1,38687,1,145,54.3,2.0
7585,2017,15999,1,15005,1,145,54.3,2.0
7585,2017,17299,1,14224,1,145,54.3,2.0
7079,2019,14198,1,20205,0,150,58.9,1.0
6967,2016,10898,1,13093,0,125,52.3,1.0
7073,2019,17298,0,1434,0,150,48.7,1.0
7079,2017,16698,1,24498,1,145,67.3,2.0
7079,2018,17298,1,3124,0,145,60.1,1.0
7585,2017,15498,1,31073,1,125,60.1,2.0
7585,2017,14298,1,6345,1,145,54.3,2.0
7585,2019,22998,1,593,1,145,47.9,2.0
7079,2018,11598,1,11654,0,145,61.4,1.0
7073,2018,10498,1,17532,0,145,65.7,1.0
6967,2017,8698,1,36124,0,160,44.8,1.5
7079,2017,17498,1,13558,0,200,41.5,2.0
6967,2018,12499,1,13000,1,145,67.3,1.5
7079,2017,16250,1,28113,1,145,67.3,2.0
6967,2017,9999,1,24130,0,150,52.3,1.0
7079,2017,10999,1,23973,0,150,60.1,1.0
7585,2019,18494,1,11858,1,145,38.2,2.0
7073,2019,13489,0,26799,0,145,48.7,1.0
7073,2014,6995,1,35084,0,0,65.7,1.0
7073,2018,11995,1,12080,0,150,65.7,1.0
7073,2017,10498,1,9621,0,145,65.7,1.0
7079,2017,11300,1,13300,0,145,60.1,1.0
7073,2018,11800,1,14024,0,145,62.8,1.0
7079,2017,10800,1,17668,0,145,60.1,1.0
7073,2016,8300,1,43121,0,0,65.7,1.0
7079,2018,18499,1,14682,0,145,41.5,2.0
7079,2014,6800,1,53500,0,30,56.5,1.0
7585,2018,17000,1,15513,0,145,45.6,1.5
7073,2017,8998,1,16701,1,0,78.5,1.5
7073,2014,5698,1,51892,0,30,54.3,1.2
6967,2017,8998,1,20648,0,160,44.8,1.5
7585,2016,14998,1,38206,1,145,54.3,2.0
7585,2017,18500,1,13692,1,145,54.3,2.0
7585,2019,19298,1,12287,0,145,39.2,1.5
7585,2014,10798,1,49989,1,160,47.9,2.0
7079,2019,15998,1,12699,0,145,60.1,1.0
7073,2015,7298,1,36700,0,0,65.7,1.0
6967,2017,10298,1,25013,0,150,53.3,1.0
7073,2017,10698,1,16505,0,0,65.7,1.0
7073,2019,13998,1,5887,0,145,58.9,1.0
7585,2013,8298,1,63508,1,145,53.3,2.0
7079,2016,8998,1,36087,1,0,74.3,1.5
7585,2013,8995,1,54000,1,145,53.3,2.0
7073,2015,7895,1,27541,0,0,65.7,1.0
7079,2018,18390,1,14682,0,145,41.5,2.0
7079,2017,10795,1,22727,0,20,60.1,1.0
7079,2019,18298,2,6269,1,145,74.3,1.5
7585,2017,17698,1,18075,1,145,54.3,2.0
7585,2017,16998,1,24885,1,145,54.3,2.0
7073,2016,10698,1,22141,1,0,78.5,1.5
7585,2013,9998,0,43938,1,205,45.6,2.0
7585,2017,14498,1,6038,1,150,54.3,2.0
7073,2017,8998,1,20277,0,0,65.7,1.0
7079,2019,14000,1,11426,0,150,58.9,1.0
6967,2019,16250,1,2951,0,150,52.3,1.0
7073,2017,9700,1,28186,0,0,65.7,1.0
7585,2013,9998,1,38629,0,200,42.8,1.6
7585,2019,18999,1,9695,1,145,54.3,1.5
7073,2016,8449,1,79125,0,145,47.9,1.6
7585,2017,12489,1,36394,1,145,64.2,1.5
7585,2017,13698,1,78636,1,145,64.2,1.5
7079,2018,18498,1,21167,1,145,67.3,2.0
7079,2017,9998,1,13861,0,145,60.1,1.0
7585,2017,17498,1,22439,1,145,54.3,2.0
6967,2017,9489,1,29500,0,145,52.3,1.0
7073,2014,6250,1,39223,0,30,54.3,1.2
7073,2014,5950,1,64327,1,0,76.4,1.5
7079,2017,10900,1,13338,1,0,74.3,1.5
7079,2017,11200,1,15121,0,20,58.9,1.0
7079,2017,9250,1,38541,0,20,60.1,1.0
7073,2018,10300,1,9542,0,145,65.7,1.0
7079,2016,7000,1,82616,1,0,74.3,1.5
7073,2015,9200,1,21261,0,0,65.7,1.0
7073,2016,8298,1,22919,0,0,65.7,1.0
7079,2019,16698,1,18697,0,145,60.1,1.0
7079,2019,23698,1,5003,1,145,70.6,2.0
7079,2019,20398,1,6233,1,145,74.3,1.5
7073,2016,9698,1,19884,0,0,65.7,1.0
7585,2018,17998,1,13734,0,145,39.2,1.5
7073,2019,13698,1,12232,0,145,58.9,1.0
7079,2016,9998,1,21243,0,20,60.1,1.0
7073,2016,7298,1,31107,0,125,54.3,1.2
7079,2013,5698,1,64292,1,20,67.3,1.6
7585,2014,8998,1,68055,1,150,53.3,2.0
7073,2018,12998,1,23200,0,150,65.7,1.0
6967,2019,15489,1,5636,1,145,68.9,1.5
7079,2019,15998,1,4500,1,145,80.7,1.5
7079,2016,8489,1,61379,1,0,74.3,1.5
7073,2018,9490,1,3012,0,145,55.4,1.1
7079,2017,12490,1,11292,0,125,51.4,1.5
7079,2016,14790,1,33352,0,205,41.5,2.0
7079,2017,12498,1,17998,1,0,74.3,1.5
7079,2018,18998,1,11578,1,150,67.3,2.0
7079,2015,9598,1,29577,1,20,67.3,1.6
7079,2017,10498,1,27704,1,145,74.3,1.5
7073,2015,7998,1,19001,0,125,54.3,1.2
7079,2019,16250,1,13325,1,145,74.3,1.5
7079,2019,18450,2,14464,1,145,54.3,1.5
7079,2018,9950,1,19223,0,145,61.4,1.0
7073,2015,8498,1,19429,0,0,65.7,1.0
6967,2017,9998,1,37560,0,145,53.3,1.0
7079,2016,9998,1,3155,0,20,61.4,1.0
7079,2019,16998,1,14206,0,150,60.1,1.0
7079,2017,16998,2,30393,1,145,61.4,2.0
7585,2014,11198,1,41711,1,145,53.3,2.0
7079,2019,14498,1,14316,1,150,80.7,1.5
7073,2016,7998,1,21456,0,125,54.3,1.2
7073,2016,9998,1,20682,0,0,65.7,1.0
7079,2019,17998,1,12027,1,145,74.3,1.5
7585,2019,19998,2,8757,0,145,28.8,1.5
6967,2016,8698,1,28670,1,30,64.2,1.5
7073,2017,10698,1,21041,1,0,78.5,1.5
6967,2018,13698,1,4223,0,145,54.3,1.0
7073,2019,13498,1,9007,0,145,58.9,1.0
7073,2016,8498,1,11457,0,125,54.3,1.2
7073,2014,6298,1,39944,0,30,54.3,1.2
7073,2019,11698,1,3578,0,150,48.7,1.1
7585,2017,13998,1,21167,1,150,54.3,2.0
7073,2016,8498,0,31976,0,145,47.9,1.6
7079,2018,13998,1,10149,0,145,57.7,1.0
7073,2018,11950,1,16678,0,145,58.9,1.0
7073,2019,11395,1,1394,0,145,55.4,1.1
7073,2018,10990,1,28138,0,145,56.5,1.0
7585,2019,18489,1,10351,1,145,54.3,1.5
6967,2017,9489,1,29500,0,145,52.3,1.0
7073,2017,9795,1,4162,1,0,78.5,1.5
7585,2017,15995,1,23237,1,125,60.1,2.0
7585,2019,18495,1,7959,1,145,38.2,2.0
7079,2018,11995,1,10553,1,145,74.3,1.5
7073,2018,9998,1,23112,0,145,65.7,1.0
7073,2019,14998,1,7953,0,145,60.1,1.0
7073,2015,8000,1,14422,0,125,54.3,1.2
7079,2017,18498,0,21183,1,145,61.4,2.0
7073,2016,7998,1,21446,0,125,54.3,1.2
7073,2019,12498,1,7941,0,145,58.9,1.0
7079,2016,8498,1,45256,0,20,60.1,1.0
7073,2013,5298,1,54545,0,0,65.7,1.0
7079,2017,9998,1,28761,0,20,60.1,1.0
7585,2017,15998,1,24896,1,125,60.1,2.0
7079,2017,16998,1,45854,0,150,41.5,2.0
7073,2017,8698,1,18775,0,125,54.3,1.2
7079,2019,15998,1,10386,0,145,49.6,1.0
7073,2017,8998,1,20507,0,125,54.3,1.2
7079,2017,9998,0,32384,0,125,51.4,1.0
7073,2019,10698,1,10786,0,145,55.4,1.1
7585,2019,18495,1,11859,1,145,54.3,1.5
7585,2018,17295,1,11723,1,145,64.2,1.5
7079,2019,16250,1,11027,1,145,74.3,1.5
7073,2017,8698,1,23833,0,0,65.7,1.0
7073,2017,11298,1,13775,0,145,65.7,1.0
7079,2017,10898,1,14050,0,145,60.1,1.0
7585,2014,11698,1,34088,1,160,47.9,2.0
7073,2017,9998,0,16517,0,145,47.9,1.6
7079,2019,14998,1,12078,0,145,58.9,1.0
6967,2016,10498,0,24963,0,160,44.8,1.5
7079,2015,12298,1,51103,0,240,39.2,2.0
7585,2015,9498,1,63863,1,145,54.3,2.0
7585,2016,11990,0,55145,1,145,52.3,2.0
7073,2017,7490,1,28842,0,0,65.7,1.0
7073,2019,13698,1,11060,0,145,58.9,1.0
7079,2017,10498,1,39539,0,20,60.1,1.0
6967,2017,10798,0,3652,0,165,44.8,1.5
7585,2017,15998,1,29667,1,125,60.1,2.0
7079,2016,8998,1,49080,1,0,74.3,1.5
7585,2015,9298,1,61787,1,125,60.1,2.0
7585,2017,17498,0,31098,1,150,54.3,2.0
7585,2017,13998,1,15860,1,150,54.3,2.0
7073,2019,14998,1,8263,0,145,60.1,1.0
7073,2015,8298,1,13118,0,0,65.7,1.0
7073,2016,9698,1,19256,0,0,65.7,1.0
7073,2017,7798,1,11085,0,125,54.3,1.2
7079,2018,13498,1,10150,0,145,58.9,1.0
7079,2016,9690,1,46176,1,0,74.3,1.5
7079,2017,16498,1,18506,1,20,67.3,2.0
7073,2017,11495,1,11476,0,145,65.7,1.0
6967,2015,8000,1,29681,0,160,44.8,1.5
7073,2017,8250,1,32994,0,145,64.2,1.1
7073,2019,10998,1,12320,0,145,58.9,1.0
6967,2018,12998,1,3956,0,145,53.3,1.0
7073,2014,6698,1,39002,0,0,65.7,1.0
7585,2018,15998,1,10087,1,145,64.2,1.5
7073,2014,6498,1,21284,0,30,54.3,1.2
7079,2017,12998,1,17307,1,145,74.3,1.5
7079,2017,18998,1,10222,0,145,41.5,2.0
7073,2015,8498,1,10801,0,125,54.3,1.2
7073,2015,6998,1,42477,0,30,54.3,1.2
7585,2013,9498,0,64718,1,205,45.6,2.0
7073,2019,11698,1,3484,0,150,48.7,1.1
7079,2019,19300,1,2958,1,145,70.6,2.0
7079,2017,16890,1,23365,0,145,41.5,2.0
7079,2016,9420,1,34214,1,0,74.3,1.5
7079,2019,15390,1,5341,0,145,60.1,1.0
7079,2019,15370,1,6736,0,145,60.1,1.0
7079,2015,9230,1,27412,1,0,74.3,1.5
7079,2017,15591,1,45400,1,20,67.3,2.0
6967,2018,12891,1,16156,0,145,54.3,1.0
7073,2017,10447,2,8337,0,145,54.3,1.0
7585,2014,8998,1,71854,1,145,53.3,2.0
7079,2017,11998,1,28497,1,145,74.3,1.5
7079,2015,7498,1,36462,0,20,60.1,1.0
7073,2013,7998,0,22125,0,150,47.9,1.6
7079,2016,9498,1,18154,0,20,60.1,1.0
7585,2017,19498,0,23270,1,145,54.3,2.0
7585,2015,13698,1,34332,1,145,54.3,2.0
7585,2015,11498,0,44123,1,145,52.3,2.0
7585,2018,16998,1,13737,1,145,64.2,1.5
7079,2015,8998,1,32492,1,0,74.3,1.5
7079,2018,18998,1,16312,1,145,67.3,2.0
7073,2019,13898,1,14698,0,145,58.9,1.0
7073,2019,13498,1,20388,0,145,58.9,1.0
7073,2017,11998,1,8966,0,145,65.7,1.0
7079,2015,8298,1,56282,1,20,67.3,1.6
